entity_key,parent_key,parent_name,method,confidence,group_size
ALTA MESA COUNTRY CLUB INC,ALTA MESA COUNTRY CLUB INC,ALTA MESA COUNTRY CLUB INC,parent,singleton,1
ALTAR VALLEY CONSERVATION ALLIANCE,ALTAR VALLEY CONSERVATION ALLIANCE,ALTAR VALLEY CONSERVATION ALLIANCE,parent,singleton,1
ALTAR VALLEY SCHOOL DISTRICT,ALTAR VALLEY SCHOOL DISTRICT,ALTAR VALLEY SCHOOL DISTRICT,parent,singleton,1
ALVAREZ AUTO CENTER INC,ALVAREZ AUTO CENTER INC,ALVAREZ AUTO CENTER INC,parent,singleton,1
ALWAYS AVAILABLE DAIRY SERVICE LLC,ALWAYS AVAILABLE DAIRY SERVICE LLC,ALWAYS AVAILABLE DAIRY SERVICE LLC,parent,singleton,1
ALZHEIMERS DISEASE AND RELATED DISORDERS ASSOCIATION INC,ALZHEIMERS DISEASE AND RELATED DISORDERS ASSOCIATION INC,ALZHEIMERS DISEASE AND RELATED DISORDERS ASSOCIATION INC,parent,singleton,1
AM SIGNAL INC,AM SIGNAL INC,AM SIGNAL INC,parent,high,2
AM SIGNAL LLC,AM SIGNAL INC,AM SIGNAL INC,norm_exact,high,2
AMANDA FRAGOSA AND LAWRENCE Y GEE,AMANDA FRAGOSA AND LAWRENCE Y GEE,AMANDA FRAGOSA AND LAWRENCE Y GEE,parent,singleton,1
AMANI INTEGRATED TREATMEN,AMANI INTEGRATED TREATMEN,AMANI INTEGRATED TREATMEN,parent,singleton,1
AMAZON VALLEY ENGINEERING LLC,AMAZON VALLEY ENGINEERING LLC,AMAZON VALLEY ENGINEERING LLC,parent,singleton,1
AMBERLYS PLACE,AMBERLYS PLACE,AMBERLYS PLACE,parent,singleton,1
AMBULNZ INCORPORATED,AMBULNZ INCORPORATED,AMBULNZ INCORPORATED,parent,singleton,1
"AMCC, INC.","AMCC, INC.","AMCC, INC.",parent,singleton,1
AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE,AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE,AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE,parent,singleton,1
AMEDA,AMEDA,AMEDA,parent,singleton,1
AMER-X SECURITY INC,AMER-X SECURITY INC,AMER-X SECURITY INC,parent,singleton,1
AMERICAN ASSN OF MOTOR VEHICLE ADMIN,AMERICAN ASSN OF MOTOR VEHICLE ADMIN,AMERICAN ASSN OF MOTOR VEHICLE ADMIN,parent,singleton,1
AMERICAN ASSN OF STATE HIGHWAY & TRANSPORT,AMERICAN ASSN OF STATE HIGHWAY & TRANSPORT,AMERICAN ASSN OF STATE HIGHWAY & TRANSPORT,parent,singleton,1
AMERICAN ASSOC OF MOTOR VEHICLE ADMIN,AMERICAN ASSOC OF MOTOR VEHICLE ADMIN,AMERICAN ASSOC OF MOTOR VEHICLE ADMIN,parent,singleton,1
AMERICAN ASSOCIATION OF STATE HIGHWAY & TRANSPORT,AMERICAN ASSOCIATION OF STATE HIGHWAY & TRANSPORT,AMERICAN ASSOCIATION OF STATE HIGHWAY & TRANSPORT,parent,singleton,1
AMERICAN BASIC SCHOOLS LLC,AMERICAN BASIC SCHOOLS LLC,AMERICAN BASIC SCHOOLS LLC,parent,singleton,1
AMERICAN CHARTER SCHOOLS FOUNDATION,AMERICAN CHARTER SCHOOLS FOUNDATION,AMERICAN CHARTER SCHOOLS FOUNDATION,parent,singleton,1
AMERICAN CIVIL LIBERTIES UNION FOUNDATION INC,AMERICAN CIVIL LIBERTIES UNION FOUNDATION INC,AMERICAN CIVIL LIBERTIES UNION FOUNDATION INC,parent,singleton,1
AMERICAN CONSERVATION EXPERIENCE,AMERICAN CONSERVATION EXPERIENCE,AMERICAN CONSERVATION EXPERIENCE,parent,singleton,1
AMERICAN FENCE AND SECURITY CO INC,AMERICAN FENCE AND SECURITY CO INC,AMERICAN FENCE AND SECURITY CO INC,parent,singleton,1
AMERICAN FENCE COMPANY OF ARIZONA INC,AMERICAN FENCE COMPANY OF ARIZONA INC,AMERICAN FENCE COMPANY OF ARIZONA INC,parent,singleton,1
AMERICAN GENERAL LIFE INSURANCE COMPANY,AMERICAN GENERAL LIFE INSURANCE COMPANY,AMERICAN GENERAL LIFE INSURANCE COMPANY,parent,singleton,1
AMERICAN HEART ASSOCIATION INC,AMERICAN HEART ASSOCIATION INC,AMERICAN HEART ASSOCIATION INC,parent,singleton,1
